,index,id_str,inside_cluster,temperatura,umidade,temperatura_ponto_orvalho,pressao_atmosferica,precipitacao,related,is_alag
78,9874,823222282030088192,0,20.4,80.0,16.9,926.3,0.6,0,1.0
79,6643,808258475037966336,0,22.8,79.0,18.9,919.9,0.0,0,1.0
80,9025,985538261249613824,1,19.3,88.0,17.2,934.0,3.2,0,1.0
81,9180,1046847923160535040,1,21.7,69.0,15.8,924.0,0.2,0,1.0
82,8162,860337801417695232,1,17.4,91.0,15.9,928.5,16.4,0,1.0
83,9961,829059650100281344,1,24.9,66.0,18.1,922.5,0.0,0,1.0
84,8557,923497976819052545,1,17.0,87.0,14.8,924.3,0.0,0,1.0
85,6486,860624359379144704,1,17.9,84.0,15.2,926.8,0.0,0,1.0
86,10208,865740188751978496,1,18.335483870967742,76.74193548387099,14.083870967741936,925.2290322580644,0.5419354838709677,0,1.0
87,8608,932061196114677761,1,19.2,90.0,17.6,921.2,3.2,0,1.0
88,7110,822455269066059776,1,20.5,86.0,18.2,929.4,0.6,0,1.0
89,8581,931605971973099521,1,21.2,74.0,16.5,921.0,0.2,0,1.0
90,8235,862738202842365952,1,21.0,52.0,10.8,929.0,0.0,0,1.0
91,8254,865577196106260481,1,16.809677419354838,83.83870967741936,13.977419354838707,923.8806451612904,1.0387096774193547,0,1.0
92,5932,829060896370548737,1,24.9,66.0,18.1,922.5,0.0,0,1.0
93,8825,954804364681543680,1,21.9,89.0,20.0,926.1,10.6,0,1.0
94,7424,827928591245668352,1,25.4,69.0,19.3,922.8,0.0,0,1.0
95,9235,822455064082182144,1,20.5,86.0,18.2,929.4,0.6,0,1.0
96,9541,950440262265917440,0,20.9,83.0,17.9,928.0,0.2,1,1.0
97,7027,821824262164148225,0,21.0,87.0,18.9,923.1,1.0,1,1.0
98,5999,819308345777672195,0,23.7,77.0,19.5,923.2,0.0,1,1.0
99,7170,822916452718170113,0,18.0,91.0,16.5,926.8,6.2,1,1.0
100,5909,839280952077594624,0,20.6,93.0,19.4,927.3,0.2,1,1.0
101,8050,842855775936626688,0,20.9,86.0,18.4,925.5,1.0,1,1.0
102,7468,828707065904427008,0,20.3,81.0,16.8,920.8,12.2,1,1.0
103,9318,871745152167051265,0,17.8,88.0,15.7,929.9,2.0,1,1.0
104,9013,976231937462415360,0,20.5,85.0,17.8,925.4,2.4,1,1.0
105,5930,803343063607287808,0,23.6,71.0,18.0,923.6,0.0,1,1.0
106,6768,814567007689572355,0,23.6,68.0,17.3,923.6,0.0,1,1.0
107,8035,842780883337842689,0,22.8,73.0,17.6,925.6,0.4,1,1.0
108,8246,865567706518618112,0,16.670967741935485,84.48387096774194,13.967741935483875,923.758064516129,1.0838709677419354,1,1.0
109,9427,823117548552065028,0,17.9,89.0,16.1,925.8,0.0,1,1.0
110,6798,816038163198177280,0,22.7,73.0,17.7,923.9,0.4,1,1.0
111,7280,"8,23239478244352E+017",0,19.6,87.0,17.4,925.7,2.2,1,1.0
112,7579,834581454856318976,1,23.5,65.0,16.5,926.9,0.0,1,1.0
113,8453,897500281730027521,1,13.9,82.0,11.0,930.6,1.2,1,1.0
114,9401,817825198770626560,1,21.8,92.0,20.4,925.1,0.6,1,1.0
115,7070,822210816535592961,1,19.7,84.0,16.9,927.7,0.0,1,1.0
116,9650,917844061549101056,1,23.1,68.0,16.8,925.8,0.0,1,1.0
117,9545,955902572484841472,1,24.2,69.0,18.1,921.7,1.6,1,1.0
118,8283,865616913187172358,1,17.225806451612904,81.90322580645163,14.006451612903223,924.2483870967744,0.9032258064516128,1,1.0
119,6996,821718148797919232,1,20.9,86.0,18.5,924.0,3.2,1,1.0
120,8547,918221788827570176,1,22.2,70.0,16.6,924.6,0.4,1,1.0
121,9360,1026624821415817222,1,13.6,87.0,11.4,932.2,0.2,1,1.0
122,6657,808297952968056832,1,20.2,86.0,17.8,920.9,0.6,1,1.0
123,8834,955154302489845768,1,21.4,75.0,16.7,924.3,2.2,1,1.0
124,7572,834529660822310913,1,23.1,65.0,16.1,926.0,0.0,1,1.0
125,7353,824239010449080320,1,24.1,70.0,18.3,926.1,0.0,1,1.0
126,7959,839236451934089217,1,16.9,90.0,15.3,926.2,25.8,1,1.0
127,7095,822417959360589825,1,19.3,89.0,17.5,930.3,1.6,1,1.0
128,6212,836021192951742464,1,21.4,78.0,17.4,926.2,0.0,1,1.0
129,7292,823269966904459265,1,19.9,83.0,17.0,924.9,0.0,1,1.0
130,7306,823288126428901376,1,21.0,75.0,16.5,924.3,0.0,1,1.0
131,9664,968234697015943168,1,19.8,91.0,18.4,925.8,9.2,1,1.0
132,9833,821456522450444289,1,23.0,74.0,18.1,920.1,0.0,1,1.0
133,6048,821765817230561282,1,21.8,82.0,18.5,923.6,0.4,1,1.0
134,8806,951529984270749696,1,19.9,89.0,18.1,926.5,20.6,1,1.0
135,6433,1024122261538856963,1,15.5,88.0,13.6,926.1,5.8,1,1.0
136,6549,796822747750039552,1,24.4,70.0,18.6,923.0,0.0,1,1.0
137,8948,974098127732043776,1,20.3,90.0,18.5,928.3,9.4,1,1.0
138,8599,932001580701843462,1,21.4,82.0,18.1,918.8,0.0,1,1.0
139,8002,839377588959211526,1,20.9,92.0,19.6,926.0,0.0,1,1.0
140,9229,1055486270196072448,1,20.0,82.0,16.9,925.8,0.8,1,1.0
141,6258,843119356766814208,1,20.6,80.0,17.1,929.0,0.0,1,1.0
142,8786,950499495393005568,1,18.8,86.0,16.5,928.6,0.8,1,1.0
