,longitude,latitude,dist_flood,dist_flood_lim
214,-46.56526160000001,-23.5973316,0.0,90.0
215,-46.7339294,-23.507997600000003,0.0,90.0
216,-46.5733797,-23.5830026,411.2745,411.2745
217,-46.60137279999999,-23.5382607,289.7245,289.7245
218,-46.6855435,-23.4647577,0.0,90.0
219,-46.5960764,-23.5973031,227.3571,227.3571
220,-46.5901083,-23.4445099,307.9166,307.9166
221,-46.50150429999999,-23.5315072,0.0,90.0
222,-46.697425,-23.4531361,0.0,90.0
223,-46.42439829999999,-23.5541089,0.0,90.0
224,-46.5438071,-23.5902154,0.0,90.0
225,-46.7326101,-23.6748449,0.0,90.0
226,-46.7303598,-23.5910518,374.617,374.617
227,-46.6181717,-23.585393300000003,559.6185,559.6185
228,-46.7493269,-23.5338705,553.9832,553.9832
229,-46.70946370000001,-23.5543725,483.3473,483.3473
230,-46.6432205,-23.5769169,338.0997,338.0997
231,-46.72920360000001,-23.7931135,0.0,90.0
232,-46.6011657,-23.61983810000001,0.0,90.0
233,-46.4605088,-23.6308568,0.0,90.0
234,-46.667136,-23.5647449,308.3524,308.3524
235,-46.6806325,-23.4956776,0.0,90.0
236,-46.77335009999999,-23.631489,0.0,90.0
237,-46.7674511,-23.658568,0.0,90.0
238,-46.7491334,-23.5638924,0.0,90.0
239,-46.5798037,-23.54418900000001,392.6861,392.6861
240,-46.6249453,-23.513214399999995,340.0891,340.0891
241,-46.7250866,-23.4721159,337.4628,337.4628
242,-46.741393,-23.5409194,0.0,90.0
243,-46.5372484,-23.581779,0.0,90.0
244,-46.533845,-23.5568478,0.0,90.0
245,-46.7270102,-23.6259642,0.0,90.0
246,-46.5682351,-23.5202557,0.0,90.0
247,-46.5491355,-23.56402210000001,68.5781,90.0
248,-46.7016814,-23.5896449,213.0714,213.0714
249,-46.69990960000001,-23.7243301,0.0,90.0
250,-46.5075864,-23.56635480000001,31.0696,90.0
251,-46.5544015,-23.5157908,0.0,90.0
252,-46.7275418,-23.6347297,0.0,90.0
253,-46.5948223,-23.515773,0.0,90.0
254,-46.7831279,-23.5832843,0.0,90.0
255,-46.6376746,-23.607038,0.0,90.0
256,-46.78527310000001,-23.7222764,0.0,90.0
257,-46.4424031,-23.49109,0.0,90.0
258,-46.5839822,-23.4158991,0.0,90.0
259,-46.6002234,-23.5574174,0.0,90.0
260,-46.6664783,-23.5560292,110.9164,110.9164
261,-46.70186349999999,-23.5227182,385.8081,385.8081
262,-46.449727,-23.5404303,440.3409,440.3409
263,-46.7532498,-23.7496214,0.0,90.0
264,-46.6047875,-23.4990643,0.0,90.0
265,-46.5833676,-23.6320399,0.0,90.0
266,-46.6965773,-23.515404,345.7124,345.7124
267,-46.73666679999999,-23.4942799,0.0,90.0
268,-46.6654591,-23.628951,0.0,90.0
269,-46.6745758,-23.481113600000004,0.0,90.0
270,-46.7846665,-23.5989615,0.0,90.0
