,latitude,longitude,counts
698,-23.5446667,-46.58088789999999,1
819,-23.5384476,-46.6022489,1
1409,-23.43456560000001,-46.7202454,1
681,-23.5467879,-46.6504004,1
750,-23.5413019,-46.48414289999999,1
126,-23.6512557,-46.7570141,1
794,-23.5395364,-46.630999,1
803,-23.5392576,-46.62776229999999,1
856,-23.537005,-46.4575904,1
1387,-23.4723203,-46.57162109999999,1
742,-23.5417577,-46.6478138,1
1348,-23.4924315,-46.4542343,1
662,-23.5483872,-46.6432919,1
132,-23.6480024,-46.72750070000001,1
935,-23.53092980000001,-46.4739201,1
861,-23.5368234,-46.456554,1
1351,-23.4920164,-46.4332973,1
1424,-23.4058603,-46.76449849999999,1
791,-23.5396512,-46.6304873,1
122,-23.6526643,-46.72607070000001,1
1388,-23.4721159,-46.7250866,1
58,-23.667774,-46.7304673,1
135,-23.6460115,-46.71018839999999,1
737,-23.5419119,-46.4830092,1
920,-23.5326565,-46.65776289999999,1
1428,-23.4046872,-46.74996270000001,1
800,-23.53940230000001,-46.4838151,1
138,-23.6457685,-46.7120833,1
937,-23.5301024,-46.528896,1
809,-23.5391315,-46.7279626,1
67,-23.6663838,-46.718256,1
46,-23.6741462,-46.7001485,1
724,-23.5426083,-46.6290212,1
846,-23.5374478,-46.4547463,1
120,-23.6527317,-46.7250646,1
928,-23.531962600000004,-46.6598735,1
53,-23.672131,-46.7416845,1
1067,-23.5215365,-46.6660485,2
740,-23.5418503,-46.4820429,2
766,-23.5408057,-46.64331809999999,2
1087,-23.520377,-46.6614292,2
844,-23.5374724,-46.4581266,2
498,-23.5719378,-46.6628054,2
1079,-23.5207741,-46.655603,2
481,-23.5732319,-46.6984935,2
755,-23.54110750000001,-46.4564027,2
1072,-23.5210238,-46.4752395,2
743,-23.541667,-46.4599308,2
496,-23.5720868,-46.7128951,2
484,-23.572613600000004,-46.7045413,2
851,-23.5372298,-46.6281626,2
746,-23.5413682,-46.613568,2
843,-23.5375211,-46.4866426,2
491,-23.5723584,-46.5059158,2
490,-23.572376,-46.70538060000001,2
749,-23.5413119,-46.6269519,2
854,-23.5370431,-46.4575624,2
822,-23.5383429,-46.46129420000001,2
658,-23.5487082,-46.6386923,2
1090,-23.520232,-46.671651,2
437,-23.58206400000001,-46.555408,2
434,-23.5824676,-46.56287860000001,2
433,-23.5824805,-46.6677352,2
432,-23.5824862,-46.4967297,2
788,-23.5397041,-46.45773060000001,2
430,-23.58257810000001,-46.5621605,2
789,-23.5396697,-46.4839086,2
429,-23.5825945,-46.564147,2
1137,-23.5170718,-46.7256931,2
808,-23.5391505,-46.5425747,2
786,-23.5397546,-46.48566810000001,2
427,-23.5827188,-46.5866282,2
1138,-23.5169886,-46.6821686,2
1139,-23.516982100000003,-46.5162831,2
422,-23.5830399,-46.6522638,2
418,-23.5832055,-46.68635769999999,2
1143,-23.5165521,-46.728456,2
1144,-23.5163514,-46.66198920000001,2
412,-23.5835,-46.6544014,2
411,-23.5835626,-46.5751825,2
795,-23.539535600000004,-46.48359929999999,2
1155,-23.5157253,-46.6404566,2
425,-23.5829641,-46.5975085,2
1088,-23.5202557,-46.5682351,2
440,-23.581918,-46.5729191,2
442,-23.581779,-46.5372484,2
1092,-23.5200674,-46.62154500000001,2
1093,-23.5200443,-46.7017787,2
1098,-23.5198336,-46.6744407,2
468,-23.5759891,-46.7029149,2
1103,-23.519491100000003,-46.6741453,2
769,-23.5406471,-46.4164649,2
461,-23.5776186,-46.61030510000001,2
1109,-23.5191501,-46.6751177,2
456,-23.5784988,-46.7088893,2
816,-23.5385076,-46.6027034,2
1131,-23.5179007,-46.7075307,2
453,-23.5788782,-46.6941078,2
1121,-23.5184954,-46.6794319,2
1125,-23.5183856,-46.6300867,2
1126,-23.5183607,-46.6483146,2
446,-23.5809996,-46.6842815,2
445,-23.581351,-46.393935,2
780,-23.5400869,-46.61203870000001,2
781,-23.540069,-46.62801200000001,2
1127,-23.5183573,-46.6156162,2
811,-23.5389866,-46.6456719,2
783,-23.5400269,-46.6114506,2
775,-23.5403599,-46.72940759999999,2
1063,-23.5218155,-46.6479229,2
529,-23.5670542,-46.640897,2
738,-23.5418578,-46.4579575,2
616,-23.5527902,-46.6113329,2
966,-23.5281718,-46.6619021,2
614,-23.553051,-46.6561628,2
923,-23.5323166,-46.6326799,2
918,-23.533187,-46.520499,2
967,-23.5281634,-46.59762429999999,2
913,-23.5337827,-46.6266982,2
910,-23.5338743,-46.688394,2
610,-23.5541089,-46.42439829999999,2
899,-23.53498,-46.6261127,2
617,-23.55266,-46.636631,2
969,-23.5280425,-46.66796970000001,2
896,-23.5350814,-46.56940720000001,2
604,-23.5550741,-46.5590254,2
892,-23.5355282,-46.4939303,2
599,-23.55562,-46.6490798,2
696,-23.5448219,-46.6737449,2
596,-23.5557254,-46.6875306,2
982,-23.527098100000003,-46.6353124,2
592,-23.5559142,-46.5774648,2
991,-23.5268198,-46.6350653,2
697,-23.5447737,-46.6471504,2
971,-23.5278147,-46.69114159999999,2
674,-23.5475157,-46.6366376,2
673,-23.5475738,-46.63803220000001,2
925,-23.5322987,-46.5291614,2
940,-23.5299203,-46.6420086,2
653,-23.5493106,-46.6381453,2
943,-23.5297721,-46.67702620000001,2
660,-23.5484885,-46.63911820000001,2
947,-23.529598,-46.6315546,2
948,-23.5294604,-46.6788836,2
646,-23.5500438,-46.63090510000001,2
645,-23.5501211,-46.40727829999999,2
934,-23.5313449,-46.5192657,2
955,-23.5292211,-46.5603888,2
956,-23.529197600000003,-46.67646630000001,2
958,-23.5289312,-46.5152762,2
664,-23.5481286,-46.602582700000006,2
637,-23.550503,-46.646139,2
933,-23.5315072,-46.50150429999999,2
635,-23.5505283,-46.6009579,2
931,-23.531798,-46.52483460000001,2
632,-23.55075110000001,-46.6418465,2
630,-23.5510881,-46.7403109,2
929,-23.53196010000001,-46.6262138,2
628,-23.5514031,-46.6469633,2
625,-23.5519604,-46.5261539,2
962,-23.528455800000003,-46.67958460000001,2
587,-23.5563876,-46.6523551,2
1062,-23.5218332,-46.64157429999999,2
993,-23.5268029,-46.5757735,2
995,-23.5267385,-46.67300849999999,2
869,-23.5363828,-46.6339244,2
718,-23.5430818,-46.6464948,2
536,-23.5652689,-46.6796648,2
1043,-23.5230634,-46.6632997,2
533,-23.5661065,-46.50772620000001,2
721,-23.5427421,-46.4802221,2
532,-23.5662554,-46.684336,2
531,-23.56635480000001,-46.5075864,2
530,-23.5664902,-46.7032336,2
722,-23.5427074,-46.4623215,2
539,-23.5647449,-46.667136,2
526,-23.5678295,-46.6979814,2
863,-23.536623100000003,-46.6340698,2
1047,-23.5227794,-46.6645563,2
517,-23.5692895,-46.68757120000001,2
862,-23.5366413,-46.4484711,2
1048,-23.5227182,-46.70186349999999,2
729,-23.5421391,-46.6354864,2
1052,-23.5224357,-46.64926810000001,2
512,-23.5709718,-46.69096939999999,2
855,-23.5370378,-46.6498892,2
734,-23.541986,-46.5802565,2
523,-23.568072,-46.6091904,2
870,-23.5363575,-46.4562165,2
540,-23.5646455,-46.6546818,2
1033,-23.5238896,-46.6303538,2
997,-23.52655,-46.680817,2
998,-23.526435100000004,-46.6253597,2
999,-23.5263663,-46.68502609999999,2
888,-23.5358078,-46.55218,2
573,-23.5580037,-46.6289532,2
572,-23.558188,-46.6288888,2
879,-23.5360337,-46.58579779999999,2
568,-23.5586221,-46.5137237,2
567,-23.5586635,-46.6293628,2
566,-23.5588189,-46.5690836,2
878,-23.5360384,-46.6519105,2
565,-23.558855,-46.51335,2
564,-23.5592539,-46.630871000000006,2
1013,-23.52545180000001,-46.5564904,2
872,-23.5362269,-46.5522662,2
560,-23.5612461,-46.65778770000001,2
1015,-23.5252117,-46.7103639,2
712,-23.5436382,-46.7331109,2
713,-23.5435798,-46.4719656,2
1026,-23.524283,-46.70237720000001,2
547,-23.5634913,-46.54947809999999,2
546,-23.5637309,-46.6117037,2
1030,-23.5240737,-46.62877599999999,2
994,-23.52674660000001,-46.6297331,2
397,-23.5857363,-46.6983464,2
0,-23.8282027,-46.7270925,2
1301,-23.5039307,-46.6224815,2
1256,-23.5086388,-46.6945875,2
1371,-23.48382,-46.49517210000001,2
1261,-23.5080754,-46.6125401,2
97,-23.6617663,-46.6868196,2
99,-23.6606505,-46.7047882,2
246,-23.6137961,-46.6956653,2
104,-23.6598058,-46.7045241,2
1365,-23.4864975,-46.681624600000006,2
244,-23.6139787,-46.6083995,2
93,-23.6621072,-46.7068928,2
243,-23.615402,-46.66724010000001,2
242,-23.6157655,-46.7020905,2
1270,-23.5073485,-46.7179847,2
1271,-23.5072503,-46.67060120000001,2
238,-23.61762,-46.66168620000001,2
1273,-23.5070407,-46.7155214,2
235,-23.6181414,-46.6600584,2
1274,-23.5068633,-46.68830579999999,2
111,-23.6581077,-46.7088384,2
113,-23.6557008,-46.7190665,2
107,-23.6593753,-46.71051689999999,2
1372,-23.4826367,-46.60979920000001,2
265,-23.6103378,-46.6979058,2
266,-23.6101067,-46.6637739,2
68,-23.6659612,-46.7229202,2
1384,-23.4727477,-46.5715718,2
294,-23.6046651,-46.6819479,2
293,-23.6047405,-46.66697429999999,2
292,-23.604755,-46.66874139999999,2
71,-23.6656675,-46.72677589999999,2
290,-23.605116,-46.6964654,2
1225,-23.511353,-46.6102873,2
1227,-23.5108939,-46.7275323,2
1229,-23.5106876,-46.704893,2
284,-23.6064953,-46.664826700000006,2
282,-23.607038,-46.6376746,2
1234,-23.5100468,-46.59482020000001,2
1381,-23.4737451,-46.6702276,2
77,-23.665071,-46.721661,2
161,-23.6380267,-46.6564988,2
274,-23.608251100000004,-46.6761498,2
1379,-23.474323,-46.7252928,2
80,-23.6641378,-46.67849529999999,2
85,-23.6633313,-46.707879,2
1249,-23.5088219,-46.59964189999999,2
231,-23.6186381,-46.67618529999999,2
229,-23.6189923,-46.6830422,2
114,-23.6551559,-46.7244021,2
225,-23.6194146,-46.6275104,2
136,-23.6459326,-46.7227193,2
192,-23.625818,-46.6886796,2
139,-23.6457192,-46.7302352,2
191,-23.6259642,-46.7270102,2
1309,-23.5034437,-46.6845502,2
1314,-23.5027829,-46.6844431,2
1344,-23.4940508,-46.61016799999999,2
178,-23.6281321,-46.68856829999999,2
1322,-23.5021507,-46.6860931,2
176,-23.6296987,-46.6844888,2
1324,-23.5018224,-46.68683460000001,2
1325,-23.5017249,-46.68416129999999,2
148,-23.6435241,-46.73397410000001,2
171,-23.631489,-46.77335009999999,2
1339,-23.4953168,-46.6613718,2
153,-23.6413262,-46.78113,2
1338,-23.4956776,-46.6806325,2
168,-23.6324079,-46.715661,2
1336,-23.498233,-46.706861,2
1335,-23.4983286,-46.4569058,2
164,-23.6361811,-46.6774954,2
1345,-23.4937064,-46.60988,2
1221,-23.5115727,-46.70548529999999,2
197,-23.625063,-46.6867172,2
199,-23.6244089,-46.694455100000006,2
115,-23.6539771,-46.7088668,2
223,-23.6198203,-46.627044,2
222,-23.61983810000001,-46.6011657,2
1278,-23.506334,-46.6262694,2
1279,-23.5062097,-46.5420451,2
219,-23.6208778,-46.6785864,2
218,-23.621132,-46.627691,2
1356,-23.4904909,-46.75336739999999,2
215,-23.6216238,-46.6977748,2
119,-23.6527442,-46.7250433,2
1283,-23.50584760000001,-46.3769404,2
211,-23.6224802,-46.673114700000006,2
1289,-23.5050052,-46.680571,2
1352,-23.4913385,-46.4059539,2
1292,-23.5043801,-46.6862746,2
1350,-23.4920959,-46.3952434,2
205,-23.6233833,-46.6779026,2
129,-23.649073,-46.73221179999999,2
203,-23.623745,-46.6952879,2
201,-23.6240499,-46.76434329999999,2
396,-23.5858149,-46.6889648,2
198,-23.62467980000001,-46.7645809,2
65,-23.6666279,-46.7715139,2
275,-23.6081559,-46.6763522,2
64,-23.6666865,-46.7225258,2
33,-23.6814862,-46.69453490000001,2
366,-23.5888866,-46.7002858,2
362,-23.589644,-46.7295291,2
358,-23.5899277,-46.5977819,2
1184,-23.5144706,-46.6374001,2
301,-23.6023904,-46.69812839999999,2
1186,-23.5143458,-46.4439807,2
32,-23.6826905,-46.69027929999999,2
37,-23.6789861,-46.7127107,2
343,-23.5921613,-46.7317735,2
1190,-23.514005800000003,-46.6108903,2
1398,-23.4592525,-46.67454650000001,2
1195,-23.5138992,-46.6263537,2
337,-23.5945527,-46.610063,2
1396,-23.46275,-46.6031956,2
333,-23.5959732,-46.6966668,2
345,-23.5914551,-46.73090620000001,2
29,-23.6856812,-46.6802674,2
1176,-23.5148306,-46.53032049999999,2
374,-23.5879501,-46.59602570000001,2
1425,-23.4051744,-46.7530468,2
1422,-23.40614960000001,-46.7621255,2
393,-23.5860954,-46.696324,2
392,-23.586150600000003,-46.66728610000001,2
7,-23.7496214,-46.7532498,2
8,-23.74646730000001,-46.6848225,2
10,-23.7345288,-46.7958352,2
11,-23.7343857,-46.79610510000001,2
1159,-23.5154721,-46.6883555,2
13,-23.7222764,-46.78527310000001,2
1167,-23.5152223,-46.6667075,2
386,-23.5866554,-46.69146660000001,2
16,-23.7124302,-46.7100777,2
384,-23.5867134,-46.6936101,2
1413,-23.4303427,-46.7211107,2
1171,-23.5150817,-46.5200828,2
379,-23.5872435,-46.5916083,2
332,-23.5961363,-46.67970560000001,2
45,-23.6748449,-46.7326101,2
355,-23.590368,-46.7027571,2
1334,-23.4986124,-46.7070624,2
318,-23.5992475,-46.6600146,2
1211,-23.5125185,-46.6633507,2
308,-23.601201,-46.7185399,2
1390,-23.4695562,-46.7241343,2
309,-23.6010771,-46.6540711,2
1393,-23.4647577,-46.6855435,2
1207,-23.512902,-46.51834299999999,2
1216,-23.5118579,-46.6105641,2
1391,-23.4691698,-46.7242922,2
1199,-23.5136549,-46.67154910000001,2
1204,-23.5130799,-46.6103914,2
328,-23.5973979,-46.6173858,2
329,-23.5973316,-46.56526160000001,2
55,-23.6716305,-46.7419936,2
330,-23.5973031,-46.5960764,2
48,-23.6730741,-46.6770339,2
15,-23.7141272,-46.70803950000001,3
817,-23.5384697,-46.6500228,3
137,-23.64593,-46.7538224,3
736,-23.5419294,-46.4825385,3
1346,-23.4934692,-46.7577642,3
130,-23.6490513,-46.7525471,3
57,-23.6691958,-46.71203920000001,3
21,-23.7030879,-46.7146618,3
133,-23.6465815,-46.7288787,3
22,-23.6994825,-46.7152803,3
24,-23.6972571,-46.6734805,3
812,-23.5388648,-46.64058170000001,3
1417,-23.4158991,-46.5839822,3
14,-23.7142369,-46.7079048,3
140,-23.6455992,-46.7102195,3
638,-23.5505027,-46.644406,3
66,-23.6663914,-46.771511,3
3,-23.7664337,-46.7175583,3
156,-23.6397448,-46.67346939999999,3
1423,-23.4060045,-46.7349578,3
857,-23.53690880000001,-46.5506134,3
864,-23.5366178,-46.58894160000001,3
950,-23.5294021,-46.6780985,3
731,-23.5421063,-46.6275041,3
70,-23.6658875,-46.7130319,3
1420,-23.4068591,-46.75017159999999,3
147,-23.6444211,-46.7002144,3
62,-23.6669676,-46.7740371,3
1389,-23.471309,-46.694135,3
649,-23.549848,-46.6368084,3
784,-23.5399929,-46.48518,3
1343,-23.4941577,-46.41998820000001,3
735,-23.5419823,-46.63221470000001,3
141,-23.64558460000001,-46.71028670000001,3
939,-23.5300027,-46.6769343,3
128,-23.6507545,-46.67088620000001,3
699,-23.544648100000003,-46.6056811,3
932,-23.531609600000003,-46.7325696,3
834,-23.5378617,-46.6345956,3
40,-23.6782992,-46.698417600000006,3
1360,-23.4888114,-46.6094526,3
41,-23.6765104,-46.6767267,3
873,-23.536103,-46.7496764,3
708,-23.5440885,-46.589842,3
901,-23.5349228,-46.57884,3
1361,-23.4886125,-46.4573184,3
1362,-23.487968,-46.3958755,3
839,-23.5377001,-46.4867092,3
898,-23.534988,-46.454497,3
707,-23.5440896,-46.56931489999999,3
840,-23.5376794,-46.64872769999999,3
49,-23.6726992,-46.7122024,3
1397,-23.4602278,-46.7214961,3
877,-23.5360388,-46.4146528,3
890,-23.5357093,-46.6254934,3
748,-23.5413216,-46.5449017,3
1395,-23.4632422,-46.6030322,3
1401,-23.4575732,-46.60251270000001,3
25,-23.6928288,-46.6772609,3
916,-23.5332428,-46.453903,3
89,-23.6623653,-46.7068638,3
95,-23.6619145,-46.6862788,3
26,-23.690509,-46.675111,3
54,-23.6718682,-46.74204080000001,3
1353,-23.49109,-46.4424031,3
927,-23.5321259,-46.6602978,3
1407,-23.4417688,-46.58967970000001,3
824,-23.5382607,-46.60137279999999,3
79,-23.6650099,-46.7103192,3
764,-23.5408564,-46.48244570000001,3
829,-23.5379183,-46.4777201,3
762,-23.5409194,-46.741393,3
675,-23.5474777,-46.63684980000001,3
36,-23.679213,-46.71244129999999,3
51,-23.6722242,-46.74264789999999,3
831,-23.5378848,-46.6347126,3
1357,-23.4899722,-46.71010980000001,3
922,-23.5323749,-46.44367800000001,3
1375,-23.480603,-46.6111722,3
1373,-23.4824176,-46.5005015,3
50,-23.6722652,-46.7420503,3
930,-23.53195310000001,-46.5261653,3
398,-23.5856559,-46.670507,3
634,-23.5505413,-46.6448026,3
331,-23.596632,-46.6912263,3
466,-23.5766138,-46.500846,3
471,-23.5754932,-46.6110617,3
472,-23.5754838,-46.5024468,3
1198,-23.5137188,-46.6504947,3
1089,-23.5202331,-46.6671391,3
476,-23.5741157,-46.64451079999999,3
324,-23.5982038,-46.7197589,3
1208,-23.5128219,-46.6926232,3
313,-23.6001593,-46.6588857,3
1078,-23.5207813,-46.7005023,3
307,-23.601353,-46.682744,3
305,-23.6018144,-46.6825006,3
303,-23.6019988,-46.7185669,3
1219,-23.5116035,-46.6105105,3
298,-23.6031912,-46.6637589,3
501,-23.5715618,-46.6983621,3
502,-23.5715512,-46.696141,3
503,-23.5715317,-46.7022495,3
1224,-23.5114009,-46.62489679999999,3
1331,-23.4990817,-46.7248231,3
278,-23.6075597,-46.7099695,3
520,-23.5685285,-46.60789120000001,3
521,-23.568506,-46.59863170000001,3
522,-23.5682305,-46.6076365,3
1045,-23.5229582,-46.6505277,3
270,-23.6087562,-46.44294,3
268,-23.6098686,-46.4912986,3
1250,-23.5088214,-46.6661558,3
1196,-23.5138458,-46.6240427,3
1111,-23.5190797,-46.6762764,3
339,-23.5942651,-46.6949583,3
1189,-23.5140221,-46.6449009,3
395,-23.5860815,-46.6968549,3
1157,-23.5155073,-46.6496018,3
1154,-23.515773,-46.5948223,3
1148,-23.516215,-46.47661,3
408,-23.5842001,-46.6908955,3
389,-23.5863748,-46.60227070000001,3
414,-23.5834173,-46.5752457,3
416,-23.5832843,-46.7831279,3
385,-23.5866564,-46.6986415,3
1140,-23.5166733,-46.6387399,3
420,-23.5830546,-46.5646211,3
421,-23.5830472,-46.6863545,3
1169,-23.5151408,-46.68499449999999,3
381,-23.5869187,-46.60348370000001,3
264,-23.6105957,-46.59758400000001,3
426,-23.5828983,-46.6860975,3
1175,-23.5148574,-46.6984989,3
431,-23.582559600000003,-46.6856942,3
1177,-23.51473660000001,-46.6998889,3
369,-23.5886531,-46.68204799999999,3
1179,-23.5146598,-46.7246391,3
1136,-23.5171724,-46.6708966,3
367,-23.5888768,-46.68132139999999,3
438,-23.5819598,-46.6141567,3
1132,-23.51774,-46.65411,3
1180,-23.5146443,-46.52890170000001,3
363,-23.5894878,-46.5882038,3
350,-23.5908354,-46.60721239999999,3
1123,-23.5184529,-46.6479558,3
451,-23.5795126,-46.5720433,3
378,-23.5874162,-46.6576336,3
261,-23.6109779,-46.5872696,3
515,-23.5703194,-46.711623,3
257,-23.6112691,-46.7533042,3
224,-23.6198179,-46.62680839999999,3
569,-23.5584907,-46.6234938,3
570,-23.5583053,-46.64153899999999,3
574,-23.5575611,-46.7109394,3
580,-23.5568478,-46.533845,3
534,-23.5657324,-46.71179799999999,3
1288,-23.5051499,-46.5390843,3
209,-23.6226045,-46.6994649,3
989,-23.5269121,-46.6257873,3
204,-23.6234596,-46.4801993,3
593,-23.5558264,-46.5170579,3
1298,-23.5041091,-46.6726284,3
1008,-23.5255534,-46.6824616,3
980,-23.52723,-46.5836818,3
1310,-23.5034198,-46.6845614,3
611,-23.5540003,-46.6281125,3
1320,-23.5024145,-46.6153375,3
179,-23.6280222,-46.685317100000006,3
618,-23.5524145,-46.6470573,3
172,-23.6309097,-46.6176659,3
170,-23.6318945,-46.7151843,3
627,-23.551488,-46.6000948,3
169,-23.6320399,-46.5833676,3
1328,-23.5008249,-46.6155813,3
631,-23.5507824,-46.5996521,3
1329,-23.500216,-46.684101,3
607,-23.5543725,-46.70946370000001,3
232,-23.618208,-46.6605675,3
996,-23.5265774,-46.62512950000001,3
253,-23.6120494,-46.6776531,3
545,-23.5638523,-46.6362297,3
1272,-23.507044,-46.477838,3
538,-23.5650894,-46.6060689,3
555,-23.5621621,-46.6389973,3
1263,-23.5079543,-46.6866666,3
1027,-23.524272600000003,-46.6402037,3
1024,-23.52473710000001,-46.6290155,3
1275,-23.506857,-46.6773401,3
1265,-23.5076954,-46.7094505,3
1032,-23.52393,-46.69083240000001,4
